STATION,STATION_CODE,DATA_SOURCE,SITE_TYPE,OWNER,FIRE_CENTRE,FIRE_ZONE,LATITUDE,LONGITUDE,ELEVATION,or_site_id,site_id,client_id,system_id
REVELSTOKE,363,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.0603,-118.2172,680,NA,NA,NA,NA
RISKE CREEK,210,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Williams Lake),51.9594,-122.5042,929,NA,NA,NA,NA
ROCK CREEK,394,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Southeast Fire Centre,Boundary Zone,49.052,-118.9367,609,NA,NA,NA,NA
ROCKINGHAM,3190,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Robson Valley Zone,52.8643,-118.5203,1123,590,66ad273c99a271067ca51c1d,f123a2e6-fdcf-460a-bfd1-409f859bb62d,8
RORY CREEK,1092,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,50.6126,-116.7933,1580,NA,NA,NA,NA
ROSSWOOD,105,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Skeena Zone (Kalum),54.9168,-128.8597,239,631,66bfccae99a271067ca51c4e,f123a2e6-fdcf-460a-bfd1-409f859bb62d,8
ROUND PRAIRIE,788,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,50.082,-114.9004,1647,NA,NA,NA,NA
SALTSPRING 2,45,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,South Island Zone,48.7729,-123.4745,15,632,66bfcce400e01a5a0ce791a6,f123a2e6-fdcf-460a-bfd1-409f859bb62d,8
SASKATCHEWAN CROSSING,1239,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,NA,51.968,-116.7148,1442,NA,NA,NA,NA
SATURNA (EC),915,Environment Canada,External,Environment Canada,Coastal Fire Centre,South Island Zone,48.7833,-123.05,24,NA,NA,NA,NA
SAWTOOTH,1345,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Fort St. James),55.3144,-125.3484,996,NA,NA,NA,NA
SCAR CREEK,82,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Sunshine Coast Zone,51.1891,-125.0281,122,NA,NA,NA,NA
SECHELT (EC),1016,Environment Canada,External,Environment Canada,Coastal Fire Centre,Sunshine Coast Zone,49.4605,-123.7,86,NA,NA,NA,NA
SEVEREID,1165,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,54.1693,-121.6519,799,NA,NA,NA,NA
SEYMOUR ARM,344,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Vernon Zone (Vernon),51.2735,-118.9147,497,NA,NA,NA,NA
SEYMOUR GVRD,555,Auto-Caller,Weather Station - GOES,Greater Vancouver Water District,Coastal Fire Centre,Fraser Zone,49.483,-122.95,390,NA,NA,NA,NA
SICAMOUS,882,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Vernon Zone (Vernon),50.8635,-119.0028,1115,NA,NA,NA,NA
